Phone timestamp;HR [bpm]
2021-11-13T11:58:09.136;97
2021-11-13T11:58:10.120;98
2021-11-13T11:58:11.117;98
2021-11-13T11:58:12.103;99
2021-11-13T11:58:13.095;99
2021-11-13T11:58:14.177;99
2021-11-13T11:58:15.103;100
2021-11-13T11:58:16.107;100
2021-11-13T11:58:17.115;100
2021-11-13T11:58:18.135;101
2021-11-13T11:58:19.140;102
2021-11-13T11:58:20.114;102
2021-11-13T11:58:21.106;104
2021-11-13T11:58:22.098;105
2021-11-13T11:58:23.169;106
2021-11-13T11:58:24.105;108
2021-11-13T11:58:25.125;109
2021-11-13T11:58:26.177;110
2021-11-13T11:58:27.106;112
2021-11-13T11:58:28.099;113
2021-11-13T11:58:29.114;114
2021-11-13T11:58:30.104;114
