Phone timestamp;HR [bpm]
2021-11-13T11:31:30.312;108
2021-11-13T11:31:31.157;108
2021-11-13T11:31:32.227;108
2021-11-13T11:31:33.181;108
2021-11-13T11:31:34.169;108
2021-11-13T11:31:35.166;107
2021-11-13T11:31:36.191;107
2021-11-13T11:31:37.166;107
2021-11-13T11:31:38.158;106
2021-11-13T11:31:39.169;106
2021-11-13T11:31:40.155;106
2021-11-13T11:31:41.167;105
2021-11-13T11:31:42.171;105
2021-11-13T11:31:43.152;105
2021-11-13T11:31:44.225;105
2021-11-13T11:31:45.158;105
2021-11-13T11:31:46.180;105
2021-11-13T11:31:47.149;105
2021-11-13T11:31:48.212;106
2021-11-13T11:31:49.217;106
